Year,Quarter,Airline,PaxToIndia,PaxFromIndia,FreightToIndia,FreightFromIndia
370.557,3507.367,AIR ARABIA,209686,18,3,225715
390.327,2911.36,AIR ARABIA,230556,22,4,221595
402.259,3207.108,AIR ARABIA,206397,17,1,223659
417.388,3725.407,AIR ARABIA,223339,19,1,231764
419.168,3495.298,AIR ARABIA,219969,15,2,227458
425.652,3864.935,AIR ARABIA,230657,18,4,220212
435.804,3453.063,AIR ARABIA,183751,20,1,182384
439.484,4907.826,AIR ARABIA,340162,21,4,409285
443.887,4532.796,AIR ARABIA,278666,22,1,346265
484.624,2515.685,AIR ARABIA,215578,23,1,228141
485.251,3459.285,AIR ARABIA,226174,17,2,215398
489.736,3240.111,AIR ARABIA,211138,15,1,228547
492.808,3286.508,AIR ARABIA,225201,18,2,219559
513.071,3457.868,AIR ARABIA,226943,17,4,225347
572.44,3862.911,AIR ARABIA,98731,21,3,160782
61.363,873.065,AIR ARABIA,50000,20,3,27983
708.847,3263.102,AIR ARABIA,221604,18,1,286683
0,0,AIR ARABIA-ABU DHABI,24281,22,1,34603
100.054,1680.386,AIR ARABIA-ABU DHABI,138799,24,2,126920
159.997,1182.423,AIR ARABIA-ABU DHABI,110304,23,3,140481
191.781,1052.221,AIR ARABIA-ABU DHABI,112397,24,1,135761
273.388,794.4859999999999,AIR ARABIA-ABU DHABI,113149,23,4,113335
28.853,1028.24,AIR ARABIA-ABU DHABI,109460,23,2,100304
32.437,285.768,AIR ARABIA-ABU DHABI,47754,22,2,46270
46.235,607.887,AIR ARABIA-ABU DHABI,80324,23,1,97804
48.263,734.233,AIR ARABIA-ABU DHABI,67052,22,3,80475
92.03,710.888,AIR ARABIA-ABU DHABI,79538,22,4,83639
0,0,AIR ARABIA-ABUDHABI,15977,21,4,18711
1.895,11.912,AIR ASIA,0,22,1,0
0.272,61.87,AIR ASIA BERHAD,0,20,3,0
101.068,1007.15,AIR ASIA BERHAD,67568,15,2,67039
114.667,995.554,AIR ASIA BERHAD,67830,15,1,70987
130.104,826.899,AIR ASIA BERHAD,94550,16,1,97249
131.9105,816.185,AIR ASIA BERHAD,97250,23,1,113783
135.54,969.286,AIR ASIA BERHAD,68305,15,3,67861
161.575,1032.416,AIR ASIA BERHAD,114057,23,2,115836
171.009,941.266,AIR ASIA BERHAD,100243,16,2,92184
179.64610000000002,802.9355,AIR ASIA BERHAD,106766,22,4,99093
184.028,863.11,AIR ASIA BERHAD,93490,22,3,108817
20.62,6.736,AIR ASIA BERHAD,0,22,1,0
215.854,1010.096,AIR ASIA BERHAD,83197,16,3,81590
22.401,9.456,AIR ASIA BERHAD,0,21,4,0
224.209,1038.127,AIR ASIA BERHAD,92862,16,4,84690
228.904,934.833,AIR ASIA BERHAD,134167,17,4,118418
255.84,921.076,AIR ASIA BERHAD,108184,17,2,102808
260.594,996.129,AIR ASIA BERHAD,93461,17,1,95246
260.932,1230.9181600000002,AIR ASIA BERHAD,154758,24,2,149504
261.1575,1173.5285,AIR ASIA BERHAD,117092,24,1,122141
270.5088,908.622,AIR ASIA BERHAD,122545,18,1,126219
273.076,1034.554,AIR ASIA BERHAD,129137,17,3,126287
288.594,864.287,AIR ASIA BERHAD,115203,18,2,109808
334.041,1007.212,AIR ASIA BERHAD,111021,23,3,119586
353.894,1194.46,AIR ASIA BERHAD,122106,23,4,109356
369.057,804.318,AIR ASIA BERHAD,95835,20,1,102599
440.219,817.64,AIR ASIA BERHAD,122317,19,4,105100
565.286,1406.72,AIR ASIA BERHAD,149827,19,3,151092
567.132,1132.531,AIR ASIA BERHAD,138433,18,3,134506
59.904,697.508,AIR ASIA BERHAD,67834,15,4,61147
609.868,1209.483,AIR ASIA BERHAD,142873,19,1,146747
648.757,1028.608,AIR ASIA BERHAD,144241,18,4,131217
649.44,1372.997,AIR ASIA BERHAD,157722,19,2,147603
74.37,486.035,AIR ASIA BERHAD,48929,22,2,50759
1119.257,803.526,AIR ASIA X,0,21,4,0
195.536,439.26,AIR ASIA X,2218,22,2,2802
201.842,184.641,AIR ASIA X,5136,16,1,5550
256.17,632.517,AIR ASIA X,7390,22,3,9079
30.551,146.105,AIR ASIA X,0,20,2,0
350.62,717.561,AIR ASIA X,14869,22,4,13626
355.669,293.944,AIR ASIA X,0,21,2,0
360.848,631.71,AIR ASIA X,31553,20,1,34057
379.992,798.921,AIR ASIA X,26963,24,2,30646
380.9,744.233,AIR ASIA X,20293,24,1,21753
385.192,741.265,AIR ASIA X,14811,23,1,17231
447.904,703.198,AIR ASIA X,14992,16,2,16118
452.366,770.308,AIR ASIA X,15950,17,2,16228
463.775,770.955,AIR ASIA X,15972,19,2,16932
475.843,740.021,AIR ASIA X,23526,19,3,23460
477.127,788.442,AIR ASIA X,16586,18,3,16486
478.125,714.081,AIR ASIA X,43840,19,4,39054
499.165,801.2922,AIR ASIA X,0,21,3,0
508.917,736.75,AIR ASIA X,15174,19,1,16050
524.447,891.247,AIR ASIA X,16597,18,2,17679
524.7570000000001,659.779,AIR ASIA X,17385,23,4,15846
534.132,675.968,AIR ASIA X,14205,16,3,14822
536.892,630.037,AIR ASIA X,15941,17,1,16507
549.433,716.726,AIR ASIA X,15529,23,2,16347
575.98,725.982,AIR ASIA X,15169,17,3,15115
581.612,669.461,AIR ASIA X,15914,16,4,16241
594.292,854.095,AIR ASIA X,16604,18,1,17286
601.705,897.172,AIR ASIA X,17130,17,4,16629
614.135,565.226,AIR ASIA X,0,22,1,0
637.302,845.571,AIR ASIA X,15565,18,4,15794
713.314,739.495,AIR ASIA X,15485,23,3,15989
78.279,193.345,AIR ASIA X,0,20,3,0
0,1.125,AIR ASTANA,1323,20,2,0
0,31.228,AIR ASTANA,0,21,2,0
0.103,20.559,AIR ASTANA,453,21,4,1167
0.245,53.326,AIR ASTANA,2289,22,1,3112
0.823,98.019,AIR ASTANA,13470,23,2,12094
0.835,779.849,AIR ASTANA,214,20,3,23
1.168,392.701,AIR ASTANA,0,20,4,248
105.269,166.875,AIR ASTANA,17151,18,4,15628
12.285,377.006,AIR ASTANA,22992,24,2,21110
19.641,192.374,AIR ASTANA,18211,20,1,18852
2.217,114.585,AIR ASTANA,7787,16,2,7084
2.835,115.436,AIR ASTANA,7241,15,3,7197
2.922,385.526,AIR ASTANA,0,21,1,143
2.943,133.459,AIR ASTANA,11514,17,3,14644
2.959,125.955,AIR ASTANA,5061,22,2,4815
24.579,83.062,AIR ASTANA,9542,19,3,13364
27.036,245.107,AIR ASTANA,18384,24,1,19649
3.094,57.755,AIR ASTANA,7044,16,1,8422
3.65,188.163,AIR ASTANA,14516,22,4,13936
34.334,180.819,AIR ASTANA,14216,18,1,16006
37.884,125.532,AIR ASTANA,17496,19,4,15936
4.548,118.664,AIR ASTANA,6958,15,4,6702
4.874,92.635,AIR ASTANA,8673,16,3,10846
4.8932,137.161,AIR ASTANA,10992,23,1,13141
4.938,84.965,AIR ASTANA,4667,15,2,5324
5.474,177.006,AIR ASTANA,10165,17,1,11904
